State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttarakhand,ALMORA,2000,Kharif     ,Arhar/Tur,5,2
Uttarakhand,ALMORA,2000,Kharif     ,Horse-gram,1244,684
Uttarakhand,ALMORA,2000,Kharif     ,Maize,1922,2504
Uttarakhand,ALMORA,2000,Kharif     ,Other Cereals & Millets,107,32
Uttarakhand,ALMORA,2000,Kharif     ,Other Kharif pulses,1539,980
Uttarakhand,ALMORA,2000,Kharif     ,Potato,419,9302
Uttarakhand,ALMORA,2000,Kharif     ,Ragi,31583,34356
Uttarakhand,ALMORA,2000,Kharif     ,Rice,21297,21003
Uttarakhand,ALMORA,2000,Kharif     ,Sesamum,123,19
Uttarakhand,ALMORA,2000,Kharif     ,Small millets,15012,16709
Uttarakhand,ALMORA,2000,Kharif     ,Soyabean,273,150
Uttarakhand,ALMORA,2000,Kharif     ,Urad,882,368
Uttarakhand,ALMORA,2000,Rabi       ,Barley,3436,2934
Uttarakhand,ALMORA,2000,Rabi       ,Masoor,1083,552
Uttarakhand,ALMORA,2000,Rabi       ,other oilseeds,5,2
Uttarakhand,ALMORA,2000,Rabi       ,Peas & beans (Pulses),63,38
Uttarakhand,ALMORA,2000,Rabi       ,Potato,560,12432
Uttarakhand,ALMORA,2000,Rabi       ,Rapeseed &Mustard,330,132
Uttarakhand,ALMORA,2000,Rabi       ,Wheat,40825,42476
Uttarakhand,ALMORA,2000,Whole Year ,Dry ginger,121,1109
Uttarakhand,ALMORA,2000,Whole Year ,Garlic,173,190
Uttarakhand,ALMORA,2000,Whole Year ,Onion,330,957
Uttarakhand,ALMORA,2001,Kharif     ,Horse-gram,1146,573
Uttarakhand,ALMORA,2001,Kharif     ,Maize,2104,2495
Uttarakhand,ALMORA,2001,Kharif     ,Other Cereals & Millets,317,95
Uttarakhand,ALMORA,2001,Kharif     ,Other Kharif pulses,1459,825
Uttarakhand,ALMORA,2001,Kharif     ,Potato,357,7929
Uttarakhand,ALMORA,2001,Kharif     ,Ragi,34170,37620
Uttarakhand,ALMORA,2001,Kharif     ,Rice,20696,25969
Uttarakhand,ALMORA,2001,Kharif     ,Sesamum,142,23
Uttarakhand,ALMORA,2001,Kharif     ,Small millets,16940,20882
Uttarakhand,ALMORA,2001,Kharif     ,Soyabean,453,249
Uttarakhand,ALMORA,2001,Kharif     ,Urad,881,499
Uttarakhand,ALMORA,2001,Rabi       ,Barley,2976,2580
Uttarakhand,ALMORA,2001,Rabi       ,Gram,46,24
Uttarakhand,ALMORA,2001,Rabi       ,Masoor,1743,882
Uttarakhand,ALMORA,2001,Rabi       ,Other Cereals & Millets,32,28
